tweet_id,favorites,retweets,user_followers,user_favourites,date_time
693993230313091072,1755,368,9208008,146963,2016-02-01 03:04:14
693942351086120961,1640,334,9208008,146963,2016-01-31 23:42:03
693647888581312512,2505,527,9208008,146963,2016-01-31 04:11:58
693644216740769793,1273,115,9208008,146963,2016-01-31 03:57:23
693642232151285760,2376,381,9208008,146963,2016-01-31 03:49:30
693629975228977152,2281,729,9208008,146963,2016-01-31 03:00:47
693622659251335168,1431,343,9208008,146963,2016-01-31 02:31:43
693590843962331137,4705,1800,9208008,146963,2016-01-31 00:25:18
693582294167244802,1533,224,9208008,146963,2016-01-30 23:51:19
693486665285931008,1648,578,9208008,146963,2016-01-30 17:31:20
693280720173801472,3114,1137,9208008,146963,2016-01-30 03:52:58
693267061318012928,2214,739,9208008,146963,2016-01-30 02:58:42
693262851218264065,2065,456,9208008,146963,2016-01-30 02:41:58
693231807727280129,2692,681,9208008,146963,2016-01-30 00:38:37
693155686491000832,7328,2932,9208008,146963,2016-01-29 19:36:08
693109034023534592,1582,556,9208008,146963,2016-01-29 16:30:45
693095443459342336,1718,411,9208008,146963,2016-01-29 15:36:45
692919143163629568,2527,705,9208008,146963,2016-01-29 03:56:12
692905862751522816,2256,802,9208008,146963,2016-01-29 03:03:25
692901601640583168,1635,549,9208008,146963,2016-01-29 02:46:29
692894228850999298,2102,724,9208008,146963,2016-01-29 02:17:12
692828166163931137,2685,811,9208008,146963,2016-01-28 21:54:41
692752401762250755,6341,3345,9208008,146963,2016-01-28 16:53:37
692568918515392513,4069,1411,9208008,146963,2016-01-28 04:44:32
692535307825213440,2935,1247,9208008,146963,2016-01-28 02:30:58
692530551048294401,1726,375,9208008,146963,2016-01-28 02:12:04
692423280028966913,1383,201,9208008,146963,2016-01-27 19:05:49
692417313023332352,8747,3176,9208008,146963,2016-01-27 18:42:06
692187005137076224,2358,753,9208008,146963,2016-01-27 03:26:56
692158366030913536,1994,728,9208008,146963,2016-01-27 01:33:08
692142790915014657,1526,357,9208008,146963,2016-01-27 00:31:15
692041934689402880,3149,1149,9208008,146963,2016-01-26 17:50:29
692017291282812928,2697,882,9208008,146963,2016-01-26 16:12:33
691820333922455552,3703,1513,9208008,146963,2016-01-26 03:09:55
691793053716221953,7555,3880,9208008,146963,2016-01-26 01:21:31
691756958957883396,2630,901,9208008,146963,2016-01-25 22:58:05
691675652215414786,1812,465,9208008,146963,2016-01-25 17:35:00
691483041324204033,2221,509,9208008,146963,2016-01-25 04:49:38
691459709405118465,3769,1037,9208008,146963,2016-01-25 03:16:56
691444869282295808,2461,761,9208008,146963,2016-01-25 02:17:57
691416866452082688,18045,6990,9208008,146963,2016-01-25 00:26:41
691321916024623104,2407,607,9208008,146963,2016-01-24 18:09:23
691096613310316544,2788,808,9208008,146963,2016-01-24 03:14:07
691090071332753408,1617,310,9208008,146963,2016-01-24 02:48:07
690989312272396288,5501,2643,9208008,146963,2016-01-23 20:07:44
690959652130045952,3339,1126,9208008,146963,2016-01-23 18:09:53
690938899477221376,3803,1771,9208008,146963,2016-01-23 16:47:25
690932576555528194,3064,919,9208008,146963,2016-01-23 16:22:17
690735892932222976,3528,1166,9208008,146963,2016-01-23 03:20:44
690728923253055490,2022,473,9208008,146963,2016-01-23 02:53:03
690690673629138944,2169,758,9208008,146963,2016-01-23 00:21:03
690649993829576704,1211,251,9208008,146963,2016-01-22 21:39:24
690607260360429569,280,15,9208008,146963,2016-01-22 18:49:36
690597161306841088,1805,556,9208008,146963,2016-01-22 18:09:28
690400367696297985,1761,412,9208008,146963,2016-01-22 05:07:29
690374419777196032,3001,773,9208410,146963,2016-01-22 03:24:22
690360449368465409,2473,808,9208008,146963,2016-01-22 02:28:52
690348396616552449,1384,474,9208008,146963,2016-01-22 01:40:58
690248561355657216,1556,374,9208008,146963,2016-01-21 19:04:15
690021994562220032,2612,939,9208008,146963,2016-01-21 04:03:58
690015576308211712,2333,671,9208008,146963,2016-01-21 03:38:27
690005060500217858,3418,1553,9208008,146963,2016-01-21 02:56:40
689999384604450816,1320,334,9208008,146963,2016-01-21 02:34:07
689993469801164801,1361,415,9208008,146963,2016-01-21 02:10:37
689977555533848577,1279,414,9208008,146963,2016-01-21 01:07:23
689905486972461056,2278,632,9208008,146963,2016-01-20 20:21:00
689877686181715968,2829,1059,9208008,146963,2016-01-20 18:30:32
689835978131935233,2036,694,9208008,146963,2016-01-20 15:44:48
689661964914655233,3024,858,9208008,146963,2016-01-20 04:13:20
689659372465688576,9627,3521,9208008,146963,2016-01-20 04:03:02
689623661272240129,2060,588,9208008,146963,2016-01-20 01:41:08
689599056876867584,10863,5073,9208008,146963,2016-01-20 00:03:21
